city,country,entropy_type,n_total,n_high_high,n_low_low,n_high_low,n_low_high,n_not_sig,pct_high_high,pct_low_low,global_moran_i,global_moran_p
new_york,US,birth,148627,57317,26338,1274,855,62843,38.56432545903503,17.720871712407572,0.8330170755569011,0.009900990099009901
new_york,US,income,148627,37369,29974,2447,5239,73598,25.142807161552074,20.167264359773124,0.5276729568019035,0.009900990099009901
washington_dc,US,birth,24599,7686,4003,265,365,12280,31.24517256799057,16.27301922842392,0.667399768424293,0.009900990099009901
washington_dc,US,income,24599,6900,4302,782,1104,11511,28.0499207284849,17.488515793324932,0.4028911599428869,0.009900990099009901
atlanta,US,birth,34354,8999,9917,456,368,14614,26.19491180066368,28.8670897129883,0.7748629166537654,0.009900990099009901
atlanta,US,income,34354,8642,5081,779,1122,18730,25.155731501426327,14.790126331722652,0.40468622979615865,0.009900990099009901
Lund,Sweden,birth,4824,241,273,125,142,4043,4.995854063018242,5.659203980099503,0.08057714989409073,0.009900990099009901
Lund,Sweden,income,4824,473,151,177,80,3943,9.80514096185738,3.130182421227197,0.09761290429009972,0.009900990099009901
Stockholm,Sweden,birth,35842,2136,2002,941,734,30029,5.959488867808716,5.5856258021315774,0.12746743300208502,0.009900990099009901
Stockholm,Sweden,income,35842,4259,1756,1832,933,27062,11.882707438200994,4.899280174097427,0.07507036154942984,0.009900990099009901
Södertälje,Sweden,birth,2858,429,281,111,74,1963,15.010496850944717,9.832050384884534,0.23675910322901153,0.009900990099009901
Södertälje,Sweden,income,2858,383,168,160,60,2087,13.400979706088174,5.8782365290412875,0.13355921002866272,0.009900990099009901
Linköping,Sweden,birth,5311,391,539,175,105,4101,7.36207870457541,10.148747881754849,0.18212550481778342,0.009900990099009901
Linköping,Sweden,income,5311,460,202,168,59,4422,8.661269064206364,3.803426849934099,0.14912593193128257,0.009900990099009901
Helsingborg,Sweden,birth,5275,603,564,258,174,3676,11.431279620853081,10.691943127962086,0.16092826610376634,0.009900990099009901
Helsingborg,Sweden,income,5275,482,182,269,73,4269,9.137440758293838,3.4502369668246446,0.07705319280697664,0.009900990099009901
Örebro,Sweden,birth,5407,289,385,158,122,4453,5.344923247641946,7.120399482152765,0.13102531882509974,0.009900990099009901
Örebro,Sweden,income,5407,312,243,298,75,4479,5.770297762160163,4.494174218605512,0.08838599973287765,0.009900990099009901
Norrköping,Sweden,birth,4353,477,462,142,209,3063,10.957960027567195,10.613370089593383,0.2029152964538926,0.009900990099009901
Norrköping,Sweden,income,4353,396,145,184,96,3532,9.097174362508614,3.3310360670801744,0.06135200049413501,0.009900990099009901
Växjö,Sweden,birth,3236,244,318,118,133,2423,7.5401730531520395,9.826946847960444,0.12212977178447817,0.009900990099009901
Växjö,Sweden,income,3236,242,98,137,23,2736,7.478368355995055,3.0284301606922126,0.228607393045476,0.009900990099009901
Karlstad,Sweden,birth,3670,268,349,155,76,2822,7.302452316076295,9.509536784741144,0.16354405852337953,0.009900990099009901
Karlstad,Sweden,income,3670,292,150,170,53,3005,7.956403269754769,4.087193460490464,0.11128509368556472,0.009900990099009901
Västerås,Sweden,birth,5263,496,513,241,178,3835,9.424282728481854,9.747292418772563,0.14244607287523145,0.009900990099009901
Västerås,Sweden,income,5263,321,159,232,84,4467,6.099182975489264,3.0210906327189817,0.05840233617453963,0.009900990099009901
Borås,Sweden,birth,3408,319,279,132,144,2534,9.360328638497652,8.18661971830986,0.14695995143579857,0.009900990099009901
Borås,Sweden,income,3408,366,136,173,58,2675,10.73943661971831,3.9906103286384975,0.092849969619557,0.009900990099009901
Uppsala,Sweden,birth,7933,850,803,342,307,5631,10.714735913273667,10.122274045127947,0.1671826181266646,0.009900990099009901
Uppsala,Sweden,income,7933,1016,182,292,130,6313,12.8072608092777,2.294214042606832,0.06651286441984963,0.009900990099009901
Eskilstuna,Sweden,birth,3078,345,234,152,126,2221,11.208576998050683,7.60233918128655,0.13045851262634195,0.009900990099009901
Eskilstuna,Sweden,income,3078,167,146,196,38,2531,5.425601039636128,4.74333983105913,0.09720000806599499,0.009900990099009901
Malmö,Sweden,birth,12610,1800,1620,627,526,8037,14.274385408406028,12.846946867565425,0.19696961363606913,0.009900990099009901
Malmö,Sweden,income,12610,1314,470,624,218,9984,10.4203013481364,3.7272006344171293,0.04906367491644345,0.009900990099009901
Jönköping,Sweden,birth,3601,266,295,126,109,2805,7.386836989725077,8.192168841988337,0.15261881483258816,0.009900990099009901
Jönköping,Sweden,income,3601,319,96,147,72,2967,8.858650374895863,2.6659261316301026,0.06692148349757603,0.009900990099009901
Trollhättan,Sweden,birth,2005,207,278,91,76,1353,10.324189526184538,13.865336658354115,0.25171137958072154,0.009900990099009901
Trollhättan,Sweden,income,2005,150,80,103,39,1633,7.4812967581047385,3.9900249376558605,0.10018915313817425,0.009900990099009901
Göteborg,Sweden,birth,16685,1546,2414,930,269,11526,9.26580761162721,14.46808510638298,0.23700460314725752,0.009900990099009901
Göteborg,Sweden,income,16685,1421,604,622,232,13806,8.516631705124363,3.620017980221756,0.08245288514012536,0.009900990099009901
Halmstad,Sweden,birth,3614,350,250,91,119,2804,9.684560044272274,6.917542888765911,0.1761141556147762,0.009900990099009901
Halmstad,Sweden,income,3614,435,243,176,50,2710,12.036524626452684,6.723851687880465,0.13702447805773602,0.009900990099009901
