city,entropy_type,n,n_covariates,ols_r2,ols_adj_r2,ols_catchment_coef,ols_catchment_se,ols_catchment_t,ols_catchment_p,ols_aic,ols_schwarz,w1_mean_neighbors,w1_n_nonzero,w1_cutoff_m,w1_decay_alpha,w2_mean_neighbors,w2_n_nonzero,pois_near_transit,pois_near_transit_pct,w1ex_mean_neighbors,w1ex_n_nonzero,w1_rho,w1_rho_se,w1_rho_z,w1_rho_p,w1_rho_ci_lower,w1_rho_ci_upper,w1_rho_stationary,w1_pr2,w1_sig2,w1_catchment_coef,w1_catchment_se,w1_catchment_z,w1_catchment_p,w2_rho,w2_rho_se,w2_rho_z,w2_rho_p,w2_rho_ci_lower,w2_rho_ci_upper,w2_rho_stationary,w2_pr2,w2_sig2,w2_catchment_coef,w2_catchment_se,w2_catchment_z,w2_catchment_p,w1ex_rho,w1ex_rho_se,w1ex_rho_z,w1ex_rho_p,w1ex_rho_ci_lower,w1ex_rho_ci_upper,w1ex_rho_stationary,w1ex_pr2,w1ex_sig2,w1ex_catchment_coef,w1ex_catchment_se,w1ex_catchment_z,w1ex_catchment_p,country
US - new_york,income,127623,7,0.16424928979616127,0.16420999610053355,0.3313585697057956,0.0021661047766700237,152.97439591781736,0.0,19444.67146308192,19512.969314272952,662.0377831582082,84491248.0,800,1.0,19.37443877670953,2472624.0,102929.0,80.6508231274927,642.9690573015836,82057640.0,0.9563142428898175,0.01800787846500889,53.105325246837474,0.0,0.9210188010984001,0.9916096846812349,True,0.4771917385962689,0.04277022605362031,0.022055124744476018,0.006071753973637309,3.6324140998196284,0.0002807820588197145,0.07318263667427516,0.00578095940382851,12.659254556572233,9.94390774546887e-37,0.061851956242771275,0.08451331710577904,True,0.19596029893819228,0.06568764561060085,0.28420276821449875,0.004289057701481358,66.2622860299456,0.0,0.9113772808063914,0.015238162707681052,59.80886923769336,0.0,0.8815104818993365,0.9412440797134463,True,0.4243284899421297,0.047042729495701464,0.0386221221737344,0.005214760610298099,7.406307798187995,1.2986422854106774e-13,US
US - washington_dc,income,19615,7,0.03181791194927963,0.03152165060042689,0.121511860119507,0.00535450767799441,22.693376763448885,1.464326950610882e-112,6101.753511682931,6156.941860693437,139.3229671170023,2732820.0,800,1.0,14.638490950802957,287134.0,15423.0,78.6286005607953,124.86321692582207,2449192.0,1.0570219002745773,0.0487096491514254,21.700462201823218,2.0311100818725575e-104,0.9615509879377835,1.1524928126113712,False,0.4077730718476088,0.04896581652603469,0.008056153633053453,0.006701373864426872,1.2021644809011782,0.2292998078481454,0.12549397412680463,0.009089790724095534,13.806035577270315,2.343799418344572e-43,0.10767798430757738,0.14330996394603188,True,0.1160601857777674,0.07417297767124094,0.07522124222393645,0.006153257263408673,12.224621692847393,2.2964829041275855e-34,0.8169306741069189,0.04170426223386199,19.588661454454595,1.932032447105662e-85,0.7351903201285493,0.8986710280852884,True,0.3016603864372703,0.057693985683035603,0.027638947956740045,0.006608437312216247,4.18237272307133,2.8848252128823413e-05,US
US - atlanta,income,28514,7,0.05632693427382174,0.05612831504365523,0.17040061062531708,0.0046861642327957545,36.362492255986616,4.916969738706007e-283,9467.744889118083,9525.55194243408,105.88328540366136,3019156.0,800,1.0,9.56638844076594,272776.0,21998.0,77.14806761590798,96.9151995510977,2763440.0,0.8485781712425933,0.032396464098264785,26.193542871490248,3.147940555759101e-151,0.7850811016099943,0.9120752408751922,True,0.3920797933372907,0.052638573517215785,0.040636509223809014,0.006221808361032284,6.531301972963188,6.520038863019604e-11,0.19474976345618744,0.008501801058557286,22.90688315508944,3.9673457363550696e-116,0.17808623338141516,0.21141329353095972,True,0.16017990175008043,0.07343275767932368,0.07476642450223814,0.006098784596339025,12.259233511398136,1.4991115240689765e-34,0.826958704847728,0.033430226797277786,24.736855955612814,4.294147475556993e-135,0.7614354603250636,0.8924819493703925,True,0.3239274670146341,0.05843710791204298,0.0384894400079574,0.006645706056359896,5.791625401656647,6.9708481957361375e-09,US
Sweden - Stockholm,income,16214,7,0.020657600432282264,0.020234584463075023,0.17623774117208768,0.02440134974879954,7.2224587158650095,5.332478188868736e-13,-68014.34708170014,-67952.79803893575,1227.5104847662515,19902855.0,800,1.0,28.460466263722708,461458.0,16111.0,99.3647465153571,1199.046132971506,19441334.0,0.9444698300203527,0.0654826992346253,14.423196371858557,3.698113668539453e-47,0.8161237395204871,1.0728159205202183,True,0.03862695619006268,0.000872041132175265,0.01196093983389801,0.026801813340343723,0.4462735294068209,0.6553996747757781,-0.005232198878173833,0.001102362974370547,-4.746348525685413,2.0712170192427645e-06,-0.007392830307940105,-0.0030715674484075605,True,0.021678524849876632,0.0008807851237408063,0.17548687859436995,0.024383140164388088,7.197058189029769,6.152551131211467e-13,0.006113307433045279,0.003613480982760352,1.6918056196258988,0.0906830417716204,-0.0009691152931650109,0.013195730159255568,True,0.020922813603655253,0.0008814643775803373,0.17776491170087638,0.024408724340875133,7.2828431841966115,3.268570977604232e-13,Sweden
Sweden - Göteborg,income,7677,7,0.009048863280009867,0.008144357091844578,0.15928189123664538,0.058640508475426956,2.716243350846655,0.006617540014614746,-36714.807608501156,-36659.23973550253,459.1038165950241,3524540.0,800,1.0,,,,,,,0.7832700587605359,0.15459594539434385,5.06656275339284,4.0506325631654543e-07,0.48026200578762196,1.08627811173345,True,0.027687302444437227,0.00048793211819036657,0.06518785184698572,0.06140012660387159,1.0616892090068637,0.2883767997905572,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
Sweden - Malmö,income,5567,7,0.00799582428166079,0.0067466734937442485,0.07246809228462325,0.051829361474538815,1.3982053844175413,0.16210717945771172,-26820.819347187637,-26767.822454482168,486.75390695167954,2709759.0,800,1.0,,,,,,,1.0858761464351119,0.1840095551953282,5.90119434440479,3.608794993570186e-09,0.7252174182522686,1.4465348746179552,False,0.014598659564568888,0.0005000001025812678,-0.041493784055774086,0.0566975342977577,-0.7318445955314692,0.464263426122548,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
Sweden - Uppsala,income,3315,7,0.01536928986455477,0.013285100275516881,0.4719692696840525,0.10342136433859767,4.563556792181187,5.212400917269007e-06,-13226.323050076131,-13177.473346855171,292.43800904977377,969432.0,800,1.0,8.827752639517346,29264.000000000004,3244.0,97.85822021116138,283.60422322775264,940148.0,0.9804599068565949,0.27834051279897665,3.5225195822093767,0.0004274654609756384,0.4349125017706007,1.526007311942589,True,0.017200726792281948,0.0011111485456707397,0.25875659941311824,0.12108193028094447,2.137037283868282,0.032594959248352116,-0.0012445558179310368,0.0020890683160465534,-0.5957468256884437,0.55134437137663,-0.005339129717382282,0.0028500180815202083,True,0.01540143139826322,0.0010780761077602574,0.4814370446176781,0.10451020746047925,4.6066030899396555,4.093001889089579e-06,-0.007578382337921852,0.007209227291827881,-1.0512059103078122,0.29316402926595875,-0.021708467829904498,0.006551703154060794,True,0.01546979431038107,0.0010780020892690344,0.5083292776190547,0.1089287619909728,4.666621269974418,3.061929596383859e-06,Sweden
Sweden - Västerås,income,2224,7,0.022586657416148848,0.01949916039535149,0.2700814329507466,0.04865411754601202,5.551049871479667,3.179145773446519e-08,-10426.205912205678,-10380.549410962714,163.36870503597123,363332.0,800,1.0,,,,,,,0.6486127967673383,0.2133302474176669,3.040416465169409,0.002362512177725906,0.2304855118287112,1.0667400817059653,True,0.07403462037404962,0.0005105613663267103,0.12642300568018072,0.06695665255835552,1.888132110099109,0.05900821708788759,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
Sweden - Örebro,income,2414,7,0.0034359125269683988,0.0005365157637466922,0.06768956901248657,0.06344167455796063,1.0669574768340178,0.2860980850301377,-12229.957634379352,-12183.645311166092,297.77299088649545,718824.0,800,1.0,,,,,297.7671913835957,718810.0,0.8635526266007219,0.4739973473744811,1.8218511799359776,0.0684775696162964,-0.0654821742532612,1.792587427454705,True,0.006100704168091325,0.0003869397960451592,0.020654967053133078,0.06998994515894742,0.295113348156304,0.7679072932396738,,,,,,,,,,,,,,-0.001872990973417643,0.005226238450324376,-0.35838222676223136,0.7200572905401235,-0.01211641833605342,0.008370436389218134,True,0.0033987878334222617,0.00036678683765356925,0.06973638982356078,0.06359464025183685,1.096576528264055,0.27282655262939515,Sweden
Sweden - Linköping,income,2328,7,0.04641984445987668,0.04354266295609188,0.02140825894457521,0.055473798778367577,0.3859165843339274,0.6995938322776389,-9663.05817406701,-9617.0360555962,268.16451890034364,624287.0,800,1.0,,,,,,,1.2738130073330467,0.17070426902230065,7.462103992060309,8.515163430971304e-14,0.9392326400493374,1.608393374616756,False,0.07802738816691679,0.0009300891909238612,-0.09302286260680148,0.05787285196362373,-1.6073661388809983,0.10797407348417713,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
