spec,n,r2,adj_r2,aic,catchment_coef,catchment_se,catchment_t,catchment_p,residential_coef,residential_se,city,country,entropy_type,geo_catch_coef,geo_catch_se,centrality_coef,centrality_se,density_coef,density_se
Base,127134,0.6412060845099388,0.6411863280682318,-287503.097457604,0.5209593560500352,0.0021853678100832276,238.38520620938172,0.0,0.2920318561512971,0.0014509569653860888,US - new_york,US,birth,,,,,,
+ Geo Catchment,127134,0.7102460556856643,0.7102278214158156,-314671.6772101914,0.2537853536777135,0.002492686810711892,101.81196955314027,0.0,0.16307528729721454,0.0014997342931212165,US - new_york,US,birth,0.4440484507005351,0.0025514041274458613,,,,
+ Geo + Centrality,127134,0.736894847274231,0.7368762202142383,-326935.35225340875,0.142295988788689,0.0025704939247659566,55.35744995065298,0.0,0.1727425962619069,0.001431648416357253,US - new_york,US,birth,0.4415298176059821,0.0024313588285124316,-0.0014770898083212112,1.3017243935381732e-05,,
Full,127134,0.7386745361756406,0.7386539792769029,-327796.23031663045,0.14602733127054535,0.002564932536052491,56.93223085519662,0.0,0.16662752982773998,0.0014418607713339341,US - new_york,US,birth,0.4559223524133671,0.002472010395904984,-0.0012740709948764958,1.4693959862079842e-05,1.4857436654377217e-05,5.049526311798385e-07
Base,19366,0.511956764466579,0.5117802843214848,-40547.457320087,0.21624889900326494,0.006810703966151598,31.751328508476753,1.010281278180821e-215,0.39829162108746274,0.0039415703317936795,US - washington_dc,US,birth,,,,,,
+ Geo Catchment,19366,0.550451579087083,0.5502657864866127,-42136.576197853115,0.13387370218693206,0.006842734088150538,19.564358407373916,2.0347598960941669e-84,0.22510711051779175,0.005692637681121216,US - washington_dc,US,birth,0.2982568730489632,0.0073258590290956865,,,,
+ Geo + Centrality,19366,0.5696268601859118,0.5694267486825884,-42978.758931096185,0.11431658053260918,0.006728418525910885,16.990111434415137,2.8425246147409108e-64,0.2370445060826878,0.005584863037310644,US - washington_dc,US,birth,0.3067111296635261,0.007173879702812231,-0.001130713113278975,3.850315625983015e-05,,
Full,19366,0.5760021586508106,0.5757830949249779,-43265.78167275979,0.12343032707254054,0.006699902925578137,18.42270379788968,3.792174044340493e-75,0.22995967483013757,0.005559021316957203,US - washington_dc,US,birth,0.30697015822983786,0.007120746736893233,-0.001381085237597321,4.09390500986813e-05,-9.9153912648366e-05,5.812257285080079e-06
Base,28002,0.6807062941760652,0.6806264536409231,-46346.21137472772,0.33079845044356126,0.004467697850794326,74.04226102370544,0.0,0.38304608182269106,0.003970095860016983,US - atlanta,US,birth,,,,,,
+ Geo Catchment,28002,0.7050049008762037,0.7049205954858208,-48560.64371322465,0.1848246500718389,0.005261491788903412,35.12780357495524,1.417485851213424e-264,0.24278047068077768,0.004805767358647316,US - atlanta,US,birth,0.31282640188124944,0.006514714561129274,,,,
+ Geo + Centrality,28002,0.7056636627431898,0.7055690275961723,-48621.245693515026,0.1876859269566964,0.005268124893833523,35.62670413839043,6.437976599759664e-272,0.24489008038518278,0.004807877424485457,US - atlanta,US,birth,0.31538666582752484,0.006515586699796658,-0.000385572099638843,4.87131653215974e-05,,
Full,28002,0.7059843734355431,0.7058793340919811,-48649.77348044864,0.1876558025154509,0.00526535089505658,35.63975246011299,4.127087665175682e-272,0.24555940077771954,0.0048068696515940045,US - atlanta,US,birth,0.3113726601418385,0.0065525443281554815,-0.0002966765200543356,5.127662415579572e-05,4.38939286532521e-05,7.943716441455927e-06
Base,16210,0.054367775155092835,0.053959219077206466,-18538.554910645995,0.1757108222921655,0.018900572748250213,9.296587179265906,1.631071714534466e-20,0.17739978050872196,0.007735011585717536,Sweden - Stockholm,Sweden,birth,,,,,,
+ Geo Catchment,16210,0.07491360969927596,0.07445680511175634,-18892.633443603117,0.11506866587436093,0.018966074238470056,6.067078744264328,1.331549489758314e-09,0.07165389786194787,0.009466329838044196,Sweden - Stockholm,Sweden,birth,0.3482220754864187,0.01835754668543807,,,,
+ Geo + Centrality,16210,0.07499777413145647,0.07448388400597394,-18892.108297763793,0.11395242378263148,0.018988068825423313,6.0012645219644165,1.9995871557683598e-09,0.0717147243196834,0.009466323936763658,Sweden - Stockholm,Sweden,birth,0.35396053534674365,0.018956001817417717,-0.00021568643251212993,0.0001776529444452443,,
Full,16210,0.07683153669897858,0.07626164444433259,-18922.275565807016,0.16753284929318113,0.021191369861105775,7.905711164084189,2.8346053375079235e-15,0.07058886267692444,0.009459310427003178,Sweden - Stockholm,Sweden,birth,0.3093942670163159,0.0205028034197356,-0.00039977423948509005,0.00018042482948888122,-1.0831187407615676e-05,1.909417488435601e-06
Base,7637,0.12036123285443268,0.11955411902955149,-8023.306959740849,0.2429093854557376,0.03325002643144546,7.305539619842574,3.0409305318162387e-13,0.2735257152116244,0.009305503523280023,Sweden - Göteborg,Sweden,birth,,,,,,
