City,Country,Entropy Type,N,OLS R2,Catchment Coef,Catchment SE,Catchment t,Catchment p,W1 rho,W1 rho SE,W1 Pseudo-R2,W2 rho,W2 Pseudo-R2
New York,US,Birth,127623,0.6414563639292055,0.520520470585943,0.0021775224035994,239.04253280035695,0.0,0.7694738917338384,0.0046183369280806,0.8134067586394675,0.0387209963408827,0.6580550240924202
Washington DC,US,Birth,19615,0.5135266271192173,0.2072911399700068,0.0067845843757945,30.553255511061515,2.493842323158216e-200,0.4967384792209373,0.019660355521731,0.6629333220061165,0.0253360097734238,0.5246347767911004
Atlanta,US,Birth,28514,0.6742280116501786,0.3317639388724238,0.0044399900275758,74.72177568235718,0.0,0.5140843211109143,0.0141654862690942,0.7677883559517615,-0.0111155626611591,0.672718030004262
Stockholm,Sweden,Birth,16214,0.0542182650770632,0.1732831329342197,0.0188441338518651,9.195600832408036,4.1731070289720894e-20,0.8356735351420355,0.0512633462397319,0.0839447274130944,-0.0265634376167431,0.0525490655800461
Gothenburg,Sweden,Birth,7677,0.1200322151178219,0.239425175119881,0.0327542291655932,7.30974842697217,2.9463504660320393e-13,0.8477042660696554,0.0569525634815159,0.1925698705296058,,
Malmö,Sweden,Birth,5567,0.0787044475244147,0.3237885380406027,0.0567531061139018,5.705212634366977,1.2219760844811728e-08,0.8912476851226074,0.0977980318459644,0.119807268377746,,
Uppsala,Sweden,Birth,3315,0.0470772040615637,0.0433752971891907,0.0529660951161256,0.8189257126486761,0.4128878076778039,0.9651760881190512,0.1331809443518251,0.0727199562687057,-0.0053139846874974,0.0462544976107357
Västerås,Sweden,Birth,2224,0.0336244099873328,0.141316160495279,0.0455970763586203,3.099237314774953,0.0019645643697378,0.7230325310488297,0.2552933303447129,0.0600659067305839,,
Örebro,Sweden,Birth,2414,0.0394976863331396,0.1133710137653274,0.0391596835656076,2.895095247013092,0.0038245913558523,0.8043135013795393,0.2141357666158485,0.0562563293032845,,
Linköping,Sweden,Birth,2328,0.0519556238439229,0.1486098985522783,0.0500938629737371,2.966628838949603,0.0030416020380352,0.9081299915194164,0.1677024568082301,0.0891594273658153,,
Helsingborg,Sweden,Birth,2380,0.0700081588637314,-0.1430478939119694,0.064229303738299,-2.227143773733172,0.0260311849536125,0.8912960749707963,0.1370598307628185,0.098705762506055,,
Lund,Sweden,Birth,2000,0.0149654664052947,0.0259593046850805,0.1163232739068483,0.2231651827979736,0.8234298300954664,0.5631071199833286,0.2296919936630179,0.019722204584589,,
New York,US,Income,127623,0.1642492897961612,0.3313585697057956,0.00216610477667,152.97439591781736,0.0,0.9563142428898176,0.0180078784650088,0.4771917385962689,0.0731826366742751,0.1959602989381922
Washington DC,US,Income,19615,0.0318179119492796,0.121511860119507,0.0053545076779944,22.693376763448885,1.464326950610882e-112,1.057021900274577,0.0487096491514254,0.4077730718476088,0.1254939741268046,0.1160601857777674
Atlanta,US,Income,28514,0.0563269342738217,0.170400610625317,0.0046861642327957,36.362492255986616,4.916969738706008e-283,0.8485781712425933,0.0323964640982647,0.3920797933372907,0.1947497634561874,0.1601799017500804
Stockholm,Sweden,Income,16214,0.0206576004322822,0.1762377411720876,0.0244013497487995,7.2224587158650095,5.332478188868736e-13,0.9444698300203528,0.0654826992346253,0.0386269561900626,-0.0052321988781738,0.0216785248498766
Gothenburg,Sweden,Income,7677,0.0090488632800098,0.1592818912366453,0.0586405084754269,2.716243350846655,0.0066175400146147,0.7832700587605359,0.1545959453943438,0.0276873024444372,,
Malmö,Sweden,Income,5567,0.0079958242816607,0.0724680922846232,0.0518293614745388,1.3982053844175413,0.1621071794577117,1.085876146435112,0.1840095551953282,0.0145986595645688,,
Uppsala,Sweden,Income,3315,0.0153692898645547,0.4719692696840525,0.1034213643385976,4.563556792181187,5.212400917269007e-06,0.9804599068565948,0.2783405127989766,0.0172007267922819,-0.001244555817931,0.0154014313982632
Västerås,Sweden,Income,2224,0.0225866574161488,0.2700814329507466,0.048654117546012,5.551049871479667,3.1791457734465193e-08,0.6486127967673383,0.2133302474176669,0.0740346203740496,,
Örebro,Sweden,Income,2414,0.0034359125269683,0.0676895690124865,0.0634416745579606,1.0669574768340178,0.2860980850301377,0.8635526266007219,0.4739973473744811,0.0061007041680913,,
Linköping,Sweden,Income,2328,0.0464198444598766,0.0214082589445752,0.0554737987783675,0.3859165843339274,0.6995938322776389,1.2738130073330467,0.1707042690223006,0.0780273881669167,,
Helsingborg,Sweden,Income,2380,0.0069589919145837,0.0446013859233858,0.0525141715988993,0.8493209464304039,0.3957884374976057,0.939654127425456,0.5053342165935721,0.0250497233590652,,
Lund,Sweden,Income,2000,0.0128319229161482,-0.133697336673201,0.0926973239942617,-1.4422998519512529,0.14937500612658,0.6068350254154211,0.3551998251711598,0.0221665838724143,,
