City,Country,Dimension,Regime,N,Res. Mean,Vis. Mean,Vis-Res Diff,Diff Std,p_wilcox
Stockholm,Sweden,Birth,With Catchment,35842,0.453632980771831,0.5829701974819823,0.1293372167101513,0.18125245425536257,0.0
Stockholm,Sweden,Birth,Without Catchment,106,0.31861109961917705,0.5379559440232897,0.21934484440411267,0.21693291393669586,3.0903564901509215e-14
Stockholm,Sweden,Income,With Catchment,35842,0.9114400266488217,0.9717442780276845,0.060304251378862764,0.0631559736779365,0.0
Stockholm,Sweden,Income,Without Catchment,106,0.9646436426466095,0.9645967256112126,-4.69170353968056e-05,0.07256318917715365,0.6808367381210397
Gothenburg,Sweden,Birth,With Catchment,16685,0.5754688611398173,0.6070715166399827,0.03160265550016531,0.19762739391631315,3.1395151277924796e-116
Gothenburg,Sweden,Birth,Without Catchment,121,0.30920377034947105,0.4994530193124795,0.19024924896300843,0.19597630111751208,7.899010123090981e-17
Gothenburg,Sweden,Income,With Catchment,16685,0.9605759764546709,0.9859811838102048,0.02540520735553405,0.04357079864735108,0.0
Gothenburg,Sweden,Income,Without Catchment,121,0.9591794717995079,0.9794743288037501,0.02029485700424223,0.05263954489604718,7.067774304634741e-06
Malmö,Sweden,Birth,With Catchment,12610,0.6727093014500615,0.6520438337301411,-0.020665467719920554,0.2124895394654457,5.76399369743678e-25
Malmö,Sweden,Birth,Without Catchment,70,0.6223962609952097,0.6027777542065598,-0.01961850678865002,0.3006118267267173,0.42100718600151954
Malmö,Sweden,Income,With Catchment,12610,0.9517278609153256,0.9862049519370761,0.034477091021750554,0.05784648892651501,0.0
Malmö,Sweden,Income,Without Catchment,70,0.9691257293107646,0.9891981934977626,0.02007246418699796,0.03932876914659877,3.2899863411726315e-07
New York,US,Birth,With Catchment,148413,0.8250771067622228,0.8726352303036509,0.047558123541428035,0.134657974115085,0.0
New York,US,Birth,Without Catchment,123092,0.7067502384865472,0.7324421005670668,0.02569186208051962,0.12732410754092713,0.0
New York,US,Income,With Catchment,111233,0.8749385871737081,0.6073270433971176,-0.2676115437765904,0.2938823776578124,0.0
New York,US,Income,Without Catchment,31029,0.8745988381633297,0.532186683830003,-0.34241215433332683,0.2827392837805711,0.0
Washington DC,US,Birth,With Catchment,24599,0.8257511484854828,0.8397135221356228,0.013962373650139618,0.12852007601515783,0.37032743774455346
Washington DC,US,Birth,Without Catchment,51816,0.6849678987525238,0.7174560064453951,0.03248810769287122,0.143505557806559,0.0
Washington DC,US,Income,With Catchment,18750,0.804156664006881,0.5685644679074868,-0.23559219609939405,0.2851775696388796,0.0
Washington DC,US,Income,Without Catchment,34561,0.855223157657656,0.587541653412671,-0.26768150424498505,0.3142975730544194,0.0
Atlanta,US,Birth,With Catchment,34354,0.5922519935553773,0.6070479412507886,0.014795947695411371,0.1531901112975344,4.3166542181620974e-33
Atlanta,US,Birth,Without Catchment,58225,0.5675721895610247,0.5607153156723219,-0.006856873888702859,0.1364903588470106,6.25819835037875e-45
Atlanta,US,Income,With Catchment,32312,0.8891393049244615,0.6003855507582957,-0.2887537541661657,0.2992132580153575,0.0
Atlanta,US,Income,Without Catchment,30246,0.8894212181701384,0.5029596105191401,-0.3864616076509985,0.300905482321779,0.0
