City,Country,Dimension,Diff (with),Diff (without),Delta,p_mannwhitney
Stockholm,Sweden,Birth,0.1293372167101513,0.21934484440411267,-0.09000762769396137,1.3643177857015417e-06
Stockholm,Sweden,Income,0.060304251378862764,-4.69170353968056e-05,0.06035116841425957,2.2417734835094018e-22
Gothenburg,Sweden,Birth,0.03160265550016531,0.19024924896300843,-0.15864659346284313,2.4596967705766724e-16
Gothenburg,Sweden,Income,0.02540520735553405,0.02029485700424223,0.005110350351291818,0.0019149755017376778
Malmö,Sweden,Birth,-0.020665467719920554,-0.01961850678865002,-0.0010469609312705325,0.7593615721350376
Malmö,Sweden,Income,0.034477091021750554,0.02007246418699796,0.014404626834752594,0.0597423243773669
New York,US,Birth,0.047558123541428035,0.02569186208051962,0.021866261460908414,0.0
New York,US,Income,-0.2676115437765904,-0.34241215433332683,0.07480061055673642,0.0
Washington DC,US,Birth,0.013962373650139618,0.03248810769287122,-0.018525734042731605,1.3254011568587845e-126
Washington DC,US,Income,-0.23559219609939405,-0.26768150424498505,0.032089308145590995,2.4365594790230188e-21
Atlanta,US,Birth,0.014795947695411371,-0.006856873888702859,0.021652821584114232,6.389198253725437e-67
Atlanta,US,Income,-0.2887537541661657,-0.3864616076509985,0.0977078534848328,0.0
