City,Country,Dim,N,OLS R²,W1 ρ,W1 R²,W2 ρ,W2 R²
Gothenburg,Sweden,Birth,7677,0.1200322151178219,0.8477042660696554,0.1925698705296058,,
Gothenburg,Sweden,Income,7677,0.0090488632800098,0.7832700587605359,0.0276873024444372,,
Helsingborg,Sweden,Birth,2380,0.0700081588637314,0.8912960749707963,0.098705762506055,,
Helsingborg,Sweden,Income,2380,0.0069589919145837,0.939654127425456,0.0250497233590652,,
Linköping,Sweden,Birth,2328,0.0519556238439229,0.9081299915194164,0.0891594273658153,,
Linköping,Sweden,Income,2328,0.0464198444598766,1.2738130073330467,0.0780273881669167,,
Lund,Sweden,Birth,2000,0.0149654664052947,0.5631071199833286,0.019722204584589,,
Lund,Sweden,Income,2000,0.0128319229161482,0.6068350254154211,0.0221665838724143,,
Malmö,Sweden,Birth,5567,0.0787044475244147,0.8912476851226074,0.119807268377746,,
Malmö,Sweden,Income,5567,0.0079958242816607,1.085876146435112,0.0145986595645688,,
Stockholm,Sweden,Birth,16214,0.0542182650770632,0.8356735351420355,0.0839447274130944,-0.0265634376167431,0.0525490655800461
Stockholm,Sweden,Income,16214,0.0206576004322822,0.9444698300203528,0.0386269561900626,-0.0052321988781738,0.0216785248498766
Uppsala,Sweden,Birth,3315,0.0470772040615637,0.9651760881190512,0.0727199562687057,-0.0053139846874974,0.0462544976107357
Uppsala,Sweden,Income,3315,0.0153692898645547,0.9804599068565948,0.0172007267922819,-0.001244555817931,0.0154014313982632
Västerås,Sweden,Birth,2224,0.0336244099873328,0.7230325310488297,0.0600659067305839,,
Västerås,Sweden,Income,2224,0.0225866574161488,0.6486127967673383,0.0740346203740496,,
Örebro,Sweden,Birth,2414,0.0394976863331396,0.8043135013795393,0.0562563293032845,,
Örebro,Sweden,Income,2414,0.0034359125269683,0.8635526266007219,0.0061007041680913,,
Atlanta,US,Birth,28514,0.6742280116501786,0.5140843211109143,0.7677883559517615,-0.0111155626611591,0.672718030004262
Atlanta,US,Income,28514,0.0563269342738217,0.8485781712425933,0.3920797933372907,0.1947497634561874,0.1601799017500804
New York,US,Birth,127623,0.6414563639292055,0.7694738917338384,0.8134067586394675,0.0387209963408827,0.6580550240924202
New York,US,Income,127623,0.1642492897961612,0.9563142428898176,0.4771917385962689,0.0731826366742751,0.1959602989381922
Washington DC,US,Birth,19615,0.5135266271192173,0.4967384792209373,0.6629333220061165,0.0253360097734238,0.5246347767911004
Washington DC,US,Income,19615,0.0318179119492796,1.057021900274577,0.4077730718476088,0.1254939741268046,0.1160601857777674
